-36	22.45
-35	16.71
-32.5	7.16
-31	5.14
-30	5.90
-27	18.80
-25	23.50
-24	24.26
-22.5	19.41
-20	7.71
-18.5	5.33
-17	7.73
-14	19.54
-12.5	26.39
-11	22.97
-10	20.75
-9	15.92
-8	8.80
-7	6.73
-6	5.52
-5	6.47
-4	9.14
-3	16.09
-2	20.33
-1	24.26
-0.5	27.10
0	27.35
0.5	26.39
1	25.07
2	22.12
3	17.91
4	9.43
5	6.69
6	5.32
8	7.71
9	15.51
10	20.47
11	24.26
12	26.62
12.5	26.16
13	24.26
14	19.04
15	17.29
16	13.68
17	7.16
18	5.12
20	7.92
22.5	21.49
24	23.69
24.5	25.07
25	24.07
27.5	15.83
30	6.02
31	5.14
32.5	7.71
35	18.80
36	23.32
